Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-03-11,217.33,217.39,206.48,209.08,209.08,4225500,ADI
2025-03-10,220.22,221.15,213.15,216.26,216.26,4946600,ADI
2025-03-07,223.59,226.66,219.74,225.86,225.86,4062900,ADI
2025-03-06,225.68,228.87,222.05,222.77,222.77,4818700,ADI
2025-03-05,227.18,229.86,222.7,229.47,229.47,3927300,ADI
2025-03-04,230.46,231.44,223.9,226.18,226.18,4742400,ADI
2025-03-03,231.84,233.83,225.67,228.53,227.54,5000100,ADI
2025-02-28,225.99,230.12,223.05,230.06,229.06,4631200,ADI
2025-02-27,234.23,234.23,223.5,223.85,222.88,4480000,ADI
2025-02-26,235.04,236.38,231.83,233.73,232.72,2908200,ADI
2025-02-25,238.33,238.33,234.38,235.3,234.28,4136800,ADI
2025-02-24,240.28,240.64,236.18,236.99,235.96,4778300,ADI
2025-02-21,244.93,246.08,237.76,238.91,237.88,6176500,ADI
2025-02-20,243.54,247.1,242.55,243.82,242.76,5889800,ADI
2025-02-19,230.02,242.51,224.1,241.66,240.61,9789600,ADI
2025-02-18,217.27,220.51,215.77,220.22,219.27,7400200,ADI
2025-02-14,211.24,215.15,210.63,214.61,213.68,3938600,ADI
2025-02-13,204.99,209.65,204.99,209.34,208.43,3134900,ADI
2025-02-12,201.01,205.4,200.8,205.13,204.24,2411500,ADI
2025-02-11,202.93,206.62,202.64,203.46,202.58,2335700,ADI
2025-02-10,206.58,207.21,202.97,204.86,203.97,2820500,ADI
2025-02-07,207.68,209.55,203.74,205.21,204.32,3194700,ADI
2025-02-06,208.73,210.51,205.75,207.83,206.93,2715100,ADI
2025-02-05,205.43,210.55,204.16,209.8,208.89,4515700,ADI
2025-02-04,204.6,208.35,204.07,206.01,205.12,4651500,ADI
2025-02-03,209.29,209.65,202.77,205.24,204.35,4483500,ADI
2025-01-31,211.71,217.62,210.69,211.89,210.97,3486400,ADI
2025-01-30,210.23,213.07,209.1,212.4,211.48,2976400,ADI
2025-01-29,209.54,211.87,209.01,209.91,209.00,2258500,ADI
2025-01-28,212.81,213.91,207.9,209.52,208.61,3748600,ADI
2025-01-27,217.4,220.82,213.64,215.42,214.49,7088000,ADI
2025-01-24,224.62,226.04,217.13,217.37,216.43,3929200,ADI
2025-01-23,221.88,228.43,221.53,228.35,227.36,2608000,ADI
2025-01-22,221.45,226.22,221.1,224.08,223.11,2883300,ADI
2025-01-21,219.23,223.65,219.16,221.45,220.49,4090900,ADI
2025-01-17,220.56,220.64,217.84,219.16,218.21,2871100,ADI
2025-01-16,218.3,218.3,212.71,215.02,214.09,3116000,ADI
2025-01-15,217.5,219.59,215.7,218.22,217.27,3302500,ADI
2025-01-14,213.16,214.83,211.54,214.65,213.72,1634600,ADI
